**** DÉBUT DU JOURNAL À Tue May  1 18:29:18 2007

mai 01 18:30:13 *	tiav est parti (Success)
jun 22 09:46:32 *	barbo (n=maboto@gar13-3-89-80-185-157.dsl.club-internet.fr) a rejoint #debian-fr
jun 22 10:16:42 *	daniel44 (n=daniel44@82.249.97.129) a rejoint #debian-fr
jun 22 10:20:04 *	ludoRA est parti (Read error: 113 (No route to host))
jun 22 10:24:45 *	daniel44 (n=daniel44@82.249.97.129) a quitté #debian-fr ("Kopete 0.12.3 : http://kopete.kde.org")
jun 22 10:36:46 *	Shisui (i=chris@AAmiens-152-1-65-27.w86-207.abo.wanadoo.fr) a rejoint #debian-fr
jun 22 11:13:16 *	zartche (n=zartche@tou86-2-88-163-97-45.fbx.proxad.net) a rejoint #debian-fr
jun 22 11:48:12 *	Thom1_ (n=lenny@dyn-91-165-196-137.ppp.tiscali.fr) a rejoint #debian-fr
jun 22 12:01:13 *	Thom1 est parti (Read error: 110 (Connection timed out))
jun 22 12:03:05 *	yoan est parti ()
jun 22 12:04:42 *	wavesound (n=wavesoun@AVelizy-155-1-50-149.w86-217.abo.wanadoo.fr) a rejoint #debian-fr
jun 22 12:04:51 <wavesound>	salut
jun 22 12:05:22 <wavesound>	quelqu'un ?
jun 22 12:05:54 *	wavesound (n=wavesoun@AVelizy-155-1-50-149.w86-217.abo.wanadoo.fr) a quitté #debian-fr
jun 22 12:06:13 <jaroug>	oui je suis là
jun 22 12:06:17 <jaroug>	krkrkr
jun 22 12:11:56 *	Mom`s (n=Mom`s@vig38-5-88-162-32-36.fbx.proxad.net) a rejoint #debian-fr
jun 22 12:14:39 *	Mom`s est parti (Remote closed the connection)
jun 22 12:14:57 *	Mom`s (n=Mom`s@vig38-5-88-162-32-36.fbx.proxad.net) a rejoint #debian-fr
jun 22 12:16:35 <raph_ael>	:)
jun 22 12:17:07 *	lambda (n=lambda@88-136-65-16.adslgp.cegetel.net) a rejoint #debian-fr
jun 22 12:35:55 *	Mom`s est parti (Remote closed the connection)
jun 22 12:37:51 *	Mom`s (n=Mom`s@vig38-5-88-162-32-36.fbx.proxad.net) a rejoint #debian-fr
jun 22 12:45:10 *	Mom`s est parti ("à bientôt")
jun 22 12:58:34 *	yoan (n=yoan@AClermont-Ferrand-157-1-169-165.w90-0.abo.wanadoo.fr) a rejoint #debian-fr
jun 22 13:00:00 <manuel>	yo jaroug
jun 22 13:01:56 *	romgo est parti ("reboot")
jun 22 13:15:03 *	david_ (n=david@82.248.197.97) a rejoint #debian-fr
jun 22 13:15:19 <david_>	salut a tous
jun 22 13:15:31 <ptitlouis>	tg
jun 22 13:15:55 <snz>	calme toi David stp
jun 22 13:16:09 *	manuel caresse ptitlouis sur le crâne
jun 22 13:16:22 *	ptitlouis ne caresse pas manuel
jun 22 13:16:23 <snz>	c'est mignon tout plein
jun 22 13:16:25 <snz>	il rougit
jun 22 13:16:28 <ptitlouis>	mouarf
jun 22 13:16:41 <ptitlouis>	vous êtes mignonnes aussi toi et arachne :)
jun 22 13:16:47 <snz>	<3
jun 22 13:20:51 *	zartche est parti (Remote closed the connection)
jun 22 13:27:11 *	yoan est parti ()
jun 22 13:32:31 *	david_ (n=david@82.248.197.97) a quitté #debian-fr ("Konversation terminated!")
jun 22 13:33:01 *	gnuk (n=F404ror@pla93-3-82-240-11-251.fbx.proxad.net) a rejoint #debian-fr
jun 22 13:48:55 *	ludoRA (n=Ludovic@mut38-5-82-246-189-159.fbx.proxad.net) a rejoint #debian-fr
jun 22 13:50:14 *	neo_phryte (n=chevalie@101.114-240-81.adsl-dyn.isp.belgacom.be) a quitté #debian-fr ("Quitte")
jun 22 13:50:52 *	mickey08 (n=michael@AReims-151-1-51-40.w83-192.abo.wanadoo.fr) a rejoint #debian-fr
jun 22 13:51:36 <jaroug>	plop manuel
jun 22 13:52:58 *	yoan (n=yoan@LAubervilliers-153-51-26-127.w193-253.abo.wanadoo.fr) a rejoint #debian-fr
jun 22 13:54:57 <mickey08>	bonjour
jun 22 13:57:48 *	Nanthrax (n=jb@jbonofre.net1.nerim.net) a rejoint #debian-fr
jun 22 14:18:57 *	ludoRA est parti (Read error: 113 (No route to host))
jun 22 14:33:51 *	jpmm est parti ("WeeChat 0.1.7")
jun 22 14:46:18 *	q\ est parti ("BRB")
jun 22 14:59:02 *	algot (n=algot@201-67-191-180.jvece702.dsl.brasiltelecom.net.br) a rejoint #debian-fr
jun 22 15:00:44 *	algot est parti (Client Quit)
jun 22 15:06:42 *	q\ (n=java@avr49-1-82-245-33-193.fbx.proxad.net) a rejoint #debian-fr
jun 22 15:12:12 <cpasmoi>	TTL, cya et bon WE
jun 22 15:15:09 *	buntix_ est parti (Remote closed the connection)
jun 22 15:38:33 *	mickey08 est parti ("Yeahhhhhhhhhhhhh JAMAIS")
jun 22 15:41:45 *	Gniarf (i=gniarf@gniarf.net1.nerim.net) a rejoint #debian-fr
jun 22 16:01:29 *	mickey08 (n=michael@AReims-151-1-59-167.w83-192.abo.wanadoo.fr) a rejoint #debian-fr
jun 22 16:04:25 *	oxylin (n=jpeeters@chv78-2-88-161-189-78.fbx.proxad.net) a rejoint #debian-fr
jun 22 16:15:47 *	bradley_vier est parti ("WeeChat 0.2.4")
jun 22 16:28:56 *	jpmm (n=jpmm@86.69.170.184) a rejoint #debian-fr
jun 22 16:30:13 *	chpo est parti (Read error: 104 (Connection reset by peer))
jun 22 16:38:30 *	oxylin est parti ("Ex-Chat")
jun 22 16:43:57 *	ad-x (n=alex@inovago014281-gw.clients.easynet.fr) a rejoint #debian-fr
jun 22 16:44:25 *	sable (n=sable@41.249.9.204) a rejoint #debian-fr
jun 22 16:46:45 *	j3r0m3 (n=jerome@75-111.206-83.static-ip.oleane.fr) a rejoint #debian-fr
jun 22 16:54:21 *	j3r0m3 est parti (Remote closed the connection)
jun 22 16:59:50 *	yoan est parti (Read error: 104 (Connection reset by peer))
jun 22 17:08:03 *	sable est parti ("Do what comes naturally.  Seethe and fume and throw a tantrum.")
jun 22 17:13:49 *	rev_jazZ est parti ("Quitte")
jun 22 17:24:19 *	florent (n=florent@pluton.sarcelle.net) a rejoint #debian-fr
jun 22 17:34:22 *	dany (n=SkyNet@pha75-14-88-162-134-81.fbx.proxad.net) a rejoint #debian-fr
jun 22 17:34:58 <dany>	bonsoir
jun 22 17:35:12 *	adema (n=adema@avr50-1-82-241-204-222.fbx.proxad.net) a rejoint #debian-fr
jun 22 17:35:19 <adema>	bonsoir
jun 22 17:35:31 <adema>	j'ai cherché sur google, mais je ne trouve pas d'information pour mon probleme
jun 22 17:35:51 <adema>	j'ai fais une mise a jour aujourd'hui de lenny, xorg a été mis a jour
jun 22 17:36:06 <adema>	mais depuis xorg plante lorsqu'il tente de chargé le module nvidia
jun 22 17:36:10 <adema>	je suis obligé de repasser en nv
jun 22 17:37:53 <snz>	topic
jun 22 17:38:27 <dany>	adema: ces quoi la carte graphic
jun 22 17:38:44 <adema>	GeForce FX 5200
jun 22 17:40:53 <dany>	adema: ta essayer dpkg-reconfigure xorg
jun 22 17:41:27 <dany>	adema: tes sur distrib
jun 22 17:41:36 <ptitlouis>	ftg putain !
jun 22 17:43:13 <adema>	j'ai pas compris la derniere phrase
jun 22 17:45:17 <adema>	et ptitlouis c'est moi qui dois la fermer oO ?
jun 22 17:47:15 <ptitlouis>	entre autre
jun 22 17:48:07 <Madvax>	"c'était quoi la phrase du milieu ?"
jun 22 17:48:30 <dany>	et les gars ces qui l'admin la
jun 22 17:48:38 <raph_ael>	sta daronne
jun 22 17:48:47 <dany>	et  l'admin
jun 22 17:48:54 <dany>	et la tienne
jun 22 17:48:59 <raph_ael>	etienne
jun 22 17:49:04 <dany>	raph_ael: et la tienne
jun 22 17:49:37 <raph_ael>	dany: brillant
jun 22 17:50:16 <dany>	adema: qu'est ce que  ce passe la
jun 22 17:50:39 <dany>	raph_ael: tu a trouver sa tous seul
jun 22 17:50:51 <raph_ael>	tu as pas trouve le bescherelle toi
jun 22 17:50:58 <raph_ael>	et tu as du mal a lire les topic aussi
jun 22 17:51:35 <raph_ael>	et va refaire ton skyblog, avec la nouvelle version, tout est pete
jun 22 17:52:51 <adema>	bon je crois que ce n'est pas le moment, je voulais juste un peu d'aide, mais tan pis, à bientôt
jun 22 17:52:56 *	adema (n=adema@avr50-1-82-241-204-222.fbx.proxad.net) a quitté #debian-fr ("Quitte")
jun 22 17:53:08 <Gniarf>	QU'EST CE QUE C'EST ENCORE QUE CE BORDEL
jun 22 17:54:13 <dany>	et Gniarf  tes admin du canal
jun 22 17:54:55 <tigrou3tac>	dany c'est un bot
jun 22 17:55:56 <dany>	ok merci man
jun 22 17:58:11 *	rev_jazZ (n=csegui@vaala.mine.nu) a rejoint #debian-fr
jun 22 17:58:47 *	ad-x est parti ("Quitte")
jun 22 17:59:45 <raph_ael>	:)
jun 22 18:00:18 *	`Vinz` (n=vinz@router.vinzland.net) a rejoint #debian-fr
jun 22 18:01:21 *	`Vinz` (n=vinz@router.vinzland.net) a quitté #debian-fr ("Konversation terminated!")
jun 22 18:03:06 *	ChanServ donne l'état d'opérateur de canal à Gniarf
jun 22 18:03:14 *	Gniarf a expulsé tigrou3tac de #debian-fr (ca c'est le bot)
jun 22 18:03:40 *	krionux (n=seb@86.67.10.228) a rejoint #debian-fr
jun 22 18:03:44 *	tigrou3tac (n=tigrou@gut75-1-81-57-27-121.fbx.proxad.net) a rejoint #debian-fr
jun 22 18:03:51 <tigrou3tac>	susceptible ce bot
jun 22 18:04:00 <tigrou3tac>	allez, go home, ++
jun 22 18:04:02 *	tigrou3tac est parti ("Client exiting")
jun 22 18:04:11 <krionux>	salut
jun 22 18:04:20 <ptitlouis>	baballe
jun 22 18:12:06 *	ChloeD est parti ("Lost terminal")
jun 22 18:12:23 *	ChloeD (n=ChloeD@chez.desoutter.org) a rejoint #debian-fr
jun 22 18:18:24 *	Gniarf a expulsé dany de #debian-fr (et la tienne)
jun 22 18:19:54 *	Moi123 est parti (Read error: 113 (No route to host))
jun 22 18:23:25 <mickey08>	ptitlouis> !
jun 22 18:23:44 <ptitlouis>	wai
jun 22 18:23:49 <ptitlouis>	le pot c'est now !
jun 22 18:23:55 <mickey08>	!
jun 22 18:23:58 <mickey08>	bon pot :p
jun 22 18:24:20 <ptitlouis>	ah oué tiens, j'ai plus a boire
jun 22 18:24:22 <ptitlouis>	je vais me rechercher rune biere :]
jun 22 18:25:58 *	rev_jazZ est parti ("Quitte")
jun 22 18:26:59 <lambda>	Knowledge = Power and free Beer
jun 22 18:27:46 *	Laifen (n=xavier@APlessis-Bouchard-153-1-32-8.w83-200.abo.wanadoo.fr) a rejoint #Debian-fr
jun 22 18:31:25 <Madvax>	en parlant de bière, je m'en sifflerai bien une
jun 22 18:33:32 *	gnuk est parti ("NoFeature")
jun 22 18:33:36 <Madvax>	mais après une séance de muscu, c'est plutot thé vert
jun 22 18:34:16 <Gniarf>	lambda : et petsknowledge ?
jun 22 18:34:34 <lambda>	ça c'est mon taf
jun 22 18:34:51 <raph_ael>	apres m'etre fait lourder, j'ai the vert
jun 22 18:35:21 *	moun (n=moun@ABayonne-151-1-59-2.w86-196.abo.wanadoo.fr) a rejoint #debian-fr
jun 22 18:36:02 <Madvax>	huhu
jun 22 18:37:14 <moun>	Bonsoir; il y aquelqu'un qui peu maider s'il vous plait ?
jun 22 18:38:27 <raph_ael>	non
jun 22 18:38:49 <Madvax>	non
jun 22 18:43:12 <moun>	Nickel les gars  c'est la zone, c'est un petit potentat ou quoi , vous devriez essayé une petite therapie, c'est pas mal. ça aide à eliminer tous les petits problémes qu'on a eu avec son papa ou sa maman
jun 22 18:43:24 <mickey08>	orage
jun 22 18:43:25 *	mickey08 est parti ("Yeahhhhhhhhhhhhh JAMAIS")
jun 22 18:43:41 <moun>	Pas mal non
jun 22 18:43:45 *	hardcoffee_ (n=hardcoff@APoitiers-157-1-27-5.w83-193.abo.wanadoo.fr) a rejoint #debian-fr
jun 22 18:44:25 <Madvax>	moun: topic
jun 22 18:44:34 <moun>	d'accord
jun 22 18:44:46 <Madvax>	moun: et si tu veux savoir, ça fait des années que je ne vit plus chez mes parents
jun 22 18:45:09 <moun>	Bon tant mieux ça me rassure
jun 22 18:46:30 <Madvax>	bon aller, douche time
jun 22 18:47:04 <moun>	Bon j'ai fait l'effort les 3 dvd de la etch pour une fois, mais ça marche pas il me dit, impossible de charger des composants a partir du cd
jun 22 18:47:51 <moun>	qu'est ce que ça veut dire?
jun 22 18:48:55 <moun>	les 3 dvd je les acheté, je pense que vous aviez tous compris
jun 22 18:52:49 <moun>	Bon apparement y a plus personne, c'est le week end ou peu être les vacances, je vais essayer de trouver un canal avec des gens assidues, salut les copines
jun 22 18:53:03 *	moun (n=moun@ABayonne-151-1-59-2.w86-196.abo.wanadoo.fr) a quitté #debian-fr ("Kopete 0.12.3 : http://kopete.kde.org")
jun 22 18:56:35 <ptitlouis>	merde
jun 22 18:56:41 <ptitlouis>	j'ai meme pas pu le kicker :(
jun 22 19:00:08 *	hardcoffee est parti (Read error: 110 (Connection timed out))
jun 22 19:00:42 *	Shisui est parti (Remote closed the connection)
jun 22 19:19:14 *	Moi123 (n=yanis@86.76.48.73) a rejoint #debian-fr
jun 22 19:19:29 *	girafe (n=girafe@ip-202.net-81-220-158.grenoble.rev.numericable.fr) a rejoint #debian-fr
jun 22 19:26:39 <ptitlouis>	\_o<
jun 22 19:26:52 <snz>	ntm ptitlouis
jun 22 19:30:20 <ptitlouis>	ftg fdp
jun 22 19:30:22 <ptitlouis>	va boire une binouze
jun 22 19:31:50 <Madvax>	de toute façon on est vendredi soir
jun 22 19:31:58 *	girafe est parti (Read error: 104 (Connection reset by peer))
jun 22 19:31:59 <Madvax>	y'a que les no-lifers qui sont encore devant leur acran
jun 22 19:32:21 <snz>	un acran
jun 22 19:32:22 <Madvax>	bon, je vais m'occuper de ma copine
jun 22 19:32:24 <snz>	quoi qu'est ce
jun 22 19:32:26 <Madvax>	http://www.4chan.org
jun 22 19:32:27 <Madvax>	oops!
jun 22 19:32:28 <Madvax>	:-)
jun 22 19:32:32 <snz>	jeune fou
jun 22 19:32:35 <snz>	ptitlouis est bourré
jun 22 19:32:37 <snz>	aide le
jun 22 19:32:44 <snz>	il regarde le fond de sa canette de biere
jun 22 19:33:26 <snz>	; ;
jun 22 19:33:44 <ptitlouis>	'tain mais gros connard va
jun 22 19:34:07 <snz>	arrete de m'insulter stp
jun 22 19:34:09 <snz>	op moi amigo
jun 22 19:34:15 <snz>	qu'on fasse regner l'ordre ici bas
jun 22 19:34:19 <Madvax>	BASTON!
jun 22 19:35:05 <snz>	PTITLOUIS
jun 22 19:35:11 <ptitlouis>	SNZ
jun 22 19:35:15 <snz>	pour la posterite
jun 22 19:35:16 <snz>	ope moi
jun 22 19:35:20 <ptitlouis>	nan
jun 22 19:35:21 <snz>	pour faire regner l'ordre
jun 22 19:35:22 <snz>	; ;
jun 22 19:35:55 <snz>	VASY LA
jun 22 19:35:56 <snz>	STP
jun 22 19:35:57 <snz>	 - -
jun 22 19:36:05 <snz>	sinon jraconte tes ptits secrets
jun 22 19:37:11 <ptitlouis>	lesquels ?
jun 22 19:37:29 <snz>	avec a*y*
jun 22 19:37:38 <snz>	le jazz toussa
jun 22 19:37:39 <ptitlouis>	'tain le fdp
jun 22 19:37:55 <snz>	op moi amigo on va regner
jun 22 19:38:01 <ptitlouis>	 mouarf
jun 22 19:38:21 <ptitlouis>	je ne dirai rien
jun 22 19:38:26 <snz>	vas-y
jun 22 19:38:30 <snz>	lache toi !
jun 22 19:38:38 <ptitlouis>	nan :]
jun 22 19:39:00 <snz>	:<
jun 22 19:39:33 <ptitlouis>	c'est pour pas te griller ;)
jun 22 19:40:31 <snz>	:D
jun 22 19:40:33 <snz>	<3
jun 22 19:40:38 <snz>	( o ) ( o )
jun 22 19:40:43 <ptitlouis>	remarque t'as pas besoin de moi :)
jun 22 19:40:51 <snz>	wai faut la pousser un peu
jun 22 19:40:57 <ptitlouis>	hehe
jun 22 19:41:07 <ptitlouis>	poivrot !
jun 22 19:41:13 <snz>	YAHAAA
jun 22 19:41:21 <ptitlouis>	ce moi qui boit et c'est lui qu'est bourré
jun 22 19:42:30 <ptitlouis>	bon, cassos
jun 22 19:42:37 <ptitlouis>	merd'e !
jun 22 19:43:19 <Madvax>	ah me'de!
jun 22 19:43:39 <Madvax>	c'était mon prof d'info de terminale qui se battait avec son trousseau de clef :)
jun 22 19:43:45 <snz>	haha
jun 22 19:46:20 <ptitlouis>	pas mdr
jun 22 20:06:55 *	krionux est parti ("leaving")
jun 22 20:11:32 *	pikapika (n=pikapika@mar75-8-88-164-227-147.fbx.proxad.net) a rejoint #debian-fr
jun 22 20:12:23 <pikapika>	hi
jun 22 20:19:53 *	Yoda-BZH est parti ("http://blog.yoda-bzh.net - Un message qu'on pense pas à vérifier souvent ...")
jun 22 20:20:07 *	Moi123 est parti (Remote closed the connection)
jun 22 20:21:05 *	ale666 (n=spaceout@74-212-206-34.static-ip.telepacific.net) a rejoint #debian-fr
jun 22 20:23:10 *	ale666 est parti (Client Quit)
jun 22 20:23:29 *	ale666 (n=spaceout@74-212-206-34.static-ip.telepacific.net) a rejoint #debian-fr
jun 22 20:25:07 *	ale666 est parti (Client Quit)
jun 22 20:25:25 *	ale666 (n=spaceout@74-212-206-34.static-ip.telepacific.net) a rejoint #debian-fr
jun 22 20:27:27 *	TrueDD (n=dsimon@dan75-2-82-67-149-198.fbx.proxad.net) a rejoint #debian-fr
jun 22 20:27:44 *	ale666 est parti (Client Quit)
jun 22 20:27:45 <TrueDD>	Salut à tous
jun 22 20:28:01 *	ale666 (n=spaceout@74-212-206-34.static-ip.telepacific.net) a rejoint #debian-fr
jun 22 20:30:23 *	ale666 est parti (Client Quit)
jun 22 20:30:40 *	ale666 (n=spaceout@74-212-206-34.static-ip.telepacific.net) a rejoint #debian-fr
jun 22 20:30:42 *	Tino s'appelle maintenant Tinozaure
jun 22 20:36:25 *	girafe (n=girafe@ip-202.net-81-220-158.grenoble.rev.numericable.fr) a rejoint #debian-fr
jun 22 20:39:03 *	Mom`s (n=Mom`s@vig38-5-88-162-32-36.fbx.proxad.net) a rejoint #debian-fr
jun 22 20:39:16 *	girafe est parti (Client Quit)
jun 22 20:40:30 *	zartche (n=zartche@tou86-2-88-163-97-45.fbx.proxad.net) a rejoint #debian-fr
jun 22 20:49:47 *	ale666 est parti (Connection timed out)
jun 22 20:49:59 *	krionux (n=seb@86.67.10.228) a rejoint #debian-fr
jun 22 20:55:11 *	jenipapo (n=chf@mir31-2-82-227-180-36.fbx.proxad.net) a rejoint #debian-fr
jun 22 20:56:28 *	jenipapo est parti (Remote closed the connection)
jun 22 20:57:59 *	UnMus (n=domi@88-136-180-16.adslgp.cegetel.net) a rejoint #debian-fr
jun 22 20:58:29 <UnMus>	Bonsoir
jun 22 21:22:41 *	ale666 (n=spaceout@74-212-206-34.static-ip.telepacific.net) a rejoint #debian-fr
jun 22 21:22:58 *	Mom`s est parti ("à bientôt")
jun 22 21:24:23 *	call (n=gabriel@c9069b1c.static.spo.virtua.com.br) a rejoint #debian-fr
jun 22 21:27:09 <Gniarf>	QU'EST CE QUE C'EST ENCORE QUE CE BORDEL
jun 22 21:28:28 <clemux>	bonsoir
jun 22 21:36:55 <pikapika>	:)
jun 22 21:49:19 *	barbo est parti (Remote closed the connection)
jun 22 21:57:33 *	krionux est parti ("Lost terminal")
jun 22 22:11:31 *	wavesound (n=wavesoun@AVelizy-155-1-36-135.w83-204.abo.wanadoo.fr) a rejoint #debian-fr
jun 22 22:11:35 <wavesound>	salut
jun 22 22:11:54 <wavesound>	y a personne ??
jun 22 22:12:02 *	wavesound (n=wavesoun@AVelizy-155-1-36-135.w83-204.abo.wanadoo.fr) a quitté #debian-fr
jun 22 22:16:47 *	jnjb (n=nico@dyn-83-157-50-182.ppp.tiscali.fr) a rejoint #debian-fr
jun 22 22:19:35 <jnjb>	salut
jun 22 22:22:19 *	UnMus est parti ("Connexion reset by beer")
jun 22 22:28:01 *	Nanthrax est parti ("WeeChat 0.2.4")
jun 22 22:32:49 *	tigrou3tac (n=tigrou@tigrou3tac.org) a rejoint #debian-fr
jun 22 22:44:21 *	jnjb est parti ("WeeChat 0.2.6-cvs")
jun 22 22:50:09 *	futex (n=futex@ADijon-258-1-13-94.w86-213.abo.wanadoo.fr) a rejoint #debian-fr
jun 22 22:51:13 *	Moi123 (n=yanis@86.76.48.73) a rejoint #debian-fr
jun 22 22:54:21 *	seb_brice (n=lambda@84.4.66.179) a rejoint #debian-fr
jun 22 22:57:51 *	zartche est parti (Remote closed the connection)
jun 22 22:58:24 *	seb_brice s'appelle maintenant lambda__
jun 22 23:08:47 *	lambda est parti (Read error: 110 (Connection timed out))
jun 22 23:13:35 *	_gpg_ (n=_gpg_@82.249.65.100) a rejoint #debian-fr
jun 22 23:13:37 <_gpg_>	salut
jun 22 23:37:16 *	darrius est parti (Read error: 110 (Connection timed out))
jun 22 23:40:58 *	Moi123 est parti (Remote closed the connection)
jun 22 23:44:53 *	_gpg_ est parti ("Quitte")
jun 22 23:57:55 *	futex est parti ("Il n'y a que 10 types de personnes qui connaissent le binaire, ceux qui le connaissent et ceux qui ne le connaissent pas.")
jun 22 23:58:22 *	Gniarf est parti ("This computer has gone to sleep")
jun 22 23:59:00 *	chpo (n=chpo@fny94-1-82-67-168-149.fbx.proxad.net) a rejoint #debian-fr
jun 23 00:09:56 <ale666>	anyone would know how to automate ie or firefox or lynx and get the results using python?
jun 23 00:12:36 <ptitlouis>	ftg
jun 23 00:13:02 *	zartche (n=zartche@tou86-2-88-163-97-45.fbx.proxad.net) a rejoint #debian-fr
jun 23 00:13:06 <ale666>	ftg?
jun 23 00:14:20 <ptitlouis>	oé fdp, ftg
jun 23 00:15:19 *	philipus25110 (i=philippe@81.56.130.37) a rejoint #debian-fr
jun 23 00:17:02 <philipus25110>	bonsoir
jun 23 00:18:56 <philipus25110>	ce n'est pas tres bavard sur Debian
jun 23 00:20:12 *	Laifen est parti ("Parti")
jun 23 00:22:42 *	philipus25110 est parti ("Quitte")
jun 23 00:23:52 *	Gniarf (i=gniarf@gniarf.net1.nerim.net) a rejoint #debian-fr
jun 23 00:24:03 *	lambda__ s'appelle maintenant lambda
jun 23 00:26:09 <clemux>	kikoo
jun 23 00:27:15 <ale666>	ptitlouis: c koi
jun 23 00:27:17 *	cqst (n=unix@ras75-4-82-229-152-200.fbx.proxad.net) a rejoint #debian-fr
jun 23 00:28:20 <ptitlouis>	loooooooollll
jun 23 00:28:28 *	ptitlouis a expulsé ale666 de #debian-fr (fallais lire le topisc)
jun 23 00:28:37 <tigrou3tac>	mouahahah
jun 23 00:28:43 <clemux>	tiens, il a posée la même question en même temps sur #python-fr
jun 23 00:28:57 <ptitlouis>	(osef)
jun 23 00:29:11 *	ChanServ donne l'état d'opérateur de canal à manuel
jun 23 00:29:14 <manuel>	tg, ptitlouis
jun 23 00:29:23 <ptitlouis>	fdp va
jun 23 00:29:52 <manuel>	tmlp
jun 23 00:30:11 <clemux>	il doit aller sur tous les *-fr pour poser des questions en anglais
jun 23 00:30:16 <clemux>	bref osef on m'a dit
jun 23 00:30:26 <manuel>	osef de ptitlouis clemux
jun 23 00:30:30 <manuel>	tu peux parler
jun 23 00:34:05 <clemux>	mouais :)
jun 23 00:38:15 *	hardcoffee_ est parti ("Parti")
jun 23 00:44:13 *	TrueDD est parti ("Leaving")
jun 23 00:56:01 *	pikapika est parti ("bye")
jun 23 01:24:04 *	call est parti ("Saindo")
jun 23 01:54:47 *	Thom1 (n=lenny@dyn-91-165-196-137.ppp.tiscali.fr) a rejoint #debian-fr
jun 23 02:06:26 *	cqst est parti (Remote closed the connection)
jun 23 02:08:58 *	Thom1_ est parti (Read error: 110 (Connection timed out))
jun 23 02:21:13 *	florent est parti ("Avant j'étais schizophrène. Maintenant nous allons mieux !")
jun 23 02:22:40 *	chpo est parti ("Quitte")
jun 23 02:50:34 *	ale666 (n=spaceout@ip70-187-158-126.oc.oc.cox.net) a rejoint #debian-fr
jun 23 02:56:09 <lambda>	nuit
jun 23 02:56:46 *	lambda est parti ("http://diveintopython.org/toc/index.html")
jun 23 03:11:47 *	ale666 est parti (Connection timed out)
jun 23 03:16:41 *	Zword est parti (Remote closed the connection)
jun 23 03:20:18 *	zartche est parti (Read error: 104 (Connection reset by peer))
jun 23 04:20:19 *	tigrou3tac est parti (Remote closed the connection)
jun 23 05:24:51 *	mardi_soir est parti (Read error: 104 (Connection reset by peer))
jun 23 05:26:58 *	mardi_soir (n=mardi_so@unaffiliated/mardisoir/x-034521) a rejoint #debian-fr
jun 23 05:34:05 *	Yoda-BZH (n=yoda-bzh@solene.yoda-bzh.net) a rejoint #debian-fr
jun 23 05:50:17 *	Thom1_ (n=lenny@dyn-91-165-196-137.ppp.tiscali.fr) a rejoint #debian-fr
jun 23 06:04:29 *	Thom1 est parti (Read error: 110 (Connection timed out))
jun 23 06:48:54 *	ale666 (n=spaceout@adsl-75-16-82-230.dsl.irvnca.sbcglobal.net) a rejoint #debian-fr
jun 23 06:55:16 *	mickey08 (n=michael@AReims-151-1-56-144.w83-192.abo.wanadoo.fr) a rejoint #debian-fr
jun 23 06:55:31 <mickey08>	bonjour
jun 23 07:10:54 *	ale666 est parti (Connection timed out)
jun 23 07:59:42 *	ale666 (n=spaceout@adsl-75-16-82-230.dsl.irvnca.sbcglobal.net) a rejoint #debian-fr
jun 23 08:18:31 *	ale666 est parti (Connection timed out)
jun 23 08:52:49 *	Laifen (n=xavier@APlessis-Bouchard-153-1-76-101.w86-203.abo.wanadoo.fr) a rejoint #Debian-fr
